Image_ID,class,confidence,ymin,xmin,ymax,xmax,image_path,class_id
id_u3q6jdck4j.jpg,Trophozoite,1.0,712,1241,737,1270,images/id_u3q6jdck4j.jpg,0
id_a6cl90trri.jpg,Trophozoite,1.0,558,1566,600,1604,images/id_a6cl90trri.jpg,0
id_qvc2le9sm8.jpg,Trophozoite,1.0,1317,2788,1448,2914,images/id_qvc2le9sm8.jpg,0
id_w8xnbd5rvm.jpg,Trophozoite,1.0,925,1744,1041,1823,images/id_w8xnbd5rvm.jpg,0
id_i8qcpi8ey9.jpg,Trophozoite,1.0,501,1141,532,1170,images/id_i8qcpi8ey9.jpg,0
id_2phbgf1x5m.jpg,Trophozoite,1.0,687,1169,725,1205,images/id_2phbgf1x5m.jpg,0
id_8l8zssuabc.jpg,Trophozoite,1.0,1807,1992,1897,2082,images/id_8l8zssuabc.jpg,0
id_pwiv4czvne.jpg,Trophozoite,1.0,391,3002,513,3087,images/id_pwiv4czvne.jpg,0
id_8y0uii4k60.jpg,Trophozoite,1.0,1950,2315,2077,2410,images/id_8y0uii4k60.jpg,0
id_ylrsd2a6k4.jpg,Trophozoite,1.0,25,923,59,957,images/id_ylrsd2a6k4.jpg,0
id_n0dqkovtp3.jpg,Trophozoite,1.0,229,637,263,673,images/id_n0dqkovtp3.jpg,0
id_5bbz3srksa.jpg,Trophozoite,1.0,673,1455,713,1495,images/id_5bbz3srksa.jpg,0
id_e3tep47339.jpg,Trophozoite,1.0,679,794,711,822,images/id_e3tep47339.jpg,0
id_ytq3slqkjm.jpg,Trophozoite,1.0,108,768,148,800,images/id_ytq3slqkjm.jpg,0
id_a1ladv8a2p.jpg,Trophozoite,1.0,454,656,488,694,images/id_a1ladv8a2p.jpg,0
id_7chz2q4dsm.jpg,Trophozoite,1.0,537,755,565,797,images/id_7chz2q4dsm.jpg,0
id_fvpi1edl84.jpg,Trophozoite,1.0,1708,2390,1820,2482,images/id_fvpi1edl84.jpg,0
id_6bs4zqzvfr.jpg,Trophozoite,1.0,369,1082,401,1116,images/id_6bs4zqzvfr.jpg,0
id_331urb6uko.jpg,Trophozoite,1.0,645,219,685,261,images/id_331urb6uko.jpg,0
id_7fd9tfijwa.jpg,Trophozoite,1.0,602,1088,636,1122,images/id_7fd9tfijwa.jpg,0
id_e20xnaq5qn.jpg,Trophozoite,1.0,849,1358,904,1409,images/id_e20xnaq5qn.jpg,0
id_db7urn6j1g.jpg,Trophozoite,1.0,751,980,787,1022,images/id_db7urn6j1g.jpg,0
id_vmj225uyxh.jpg,Trophozoite,1.0,556,1127,588,1157,images/id_vmj225uyxh.jpg,0
id_lpc9b0h4yl.jpg,Trophozoite,1.0,1744,2990,1815,3061,images/id_lpc9b0h4yl.jpg,0
id_5gudsszz0t.jpg,Trophozoite,1.0,451,182,475,207,images/id_5gudsszz0t.jpg,0
id_tmtzoe9bns.jpg,Trophozoite,1.0,297,1343,333,1375,images/id_tmtzoe9bns.jpg,0
id_7fc9zyfy0e.jpg,Trophozoite,1.0,907,3149,1005,3242,images/id_7fc9zyfy0e.jpg,0
id_tgqn7f4tx0.jpg,Trophozoite,1.0,2219,534,2304,650,images/id_tgqn7f4tx0.jpg,0
id_fa626uztwq.jpg,Trophozoite,1.0,914,1175,946,1211,images/id_fa626uztwq.jpg,0
id_ytq3slqkjm.jpg,Trophozoite,1.0,976,834,1014,872,images/id_ytq3slqkjm.jpg,0
id_pnave1opt9.jpg,Trophozoite,1.0,1006,1016,1039,1055,images/id_pnave1opt9.jpg,0
id_napzy4l85v.jpg,Trophozoite,1.0,106,1595,136,1629,images/id_napzy4l85v.jpg,0
id_ytq3slqkjm.jpg,Trophozoite,1.0,450,1424,492,1462,images/id_ytq3slqkjm.jpg,0
id_0v91pruf44.jpg,Trophozoite,1.0,1941,634,2072,798,images/id_0v91pruf44.jpg,0
id_r1h52tth8l.jpg,Trophozoite,1.0,403,1754,441,1790,images/id_r1h52tth8l.jpg,0
id_xculy3gzpk.jpg,Trophozoite,1.0,569,1424,626,1471,images/id_xculy3gzpk.jpg,0
id_glyh3dol96.jpg,Trophozoite,1.0,284,436,306,467,images/id_glyh3dol96.jpg,0
id_sillt0ixj9.jpg,Trophozoite,1.0,2427,1558,2536,1684,images/id_sillt0ixj9.jpg,0
id_z0i61ad0tq.jpg,Trophozoite,1.0,970,463,1000,491,images/id_z0i61ad0tq.jpg,0
id_58ee05nnpt.jpg,Trophozoite,1.0,479,1010,509,1038,images/id_58ee05nnpt.jpg,0
id_xa4qfbdy8x.jpg,Trophozoite,1.0,333,1438,464,1569,images/id_xa4qfbdy8x.jpg,0
id_8x0h7f3orn.jpg,Trophozoite,1.0,1363,1846,1470,1958,images/id_8x0h7f3orn.jpg,0
id_0e1cx570oo.jpg,Trophozoite,1.0,1458,809,1574,931,images/id_0e1cx570oo.jpg,0
id_q4pmxshnf8.jpg,Trophozoite,1.0,2489,3128,2616,3218,images/id_q4pmxshnf8.jpg,0
id_4xe7v3uzb0.jpg,Trophozoite,1.0,239,1121,280,1150,images/id_4xe7v3uzb0.jpg,0
id_az75itcgjz.jpg,Trophozoite,1.0,123,702,165,757,images/id_az75itcgjz.jpg,0
id_iwm2km59xp.jpg,Trophozoite,1.0,180,1008,208,1042,images/id_iwm2km59xp.jpg,0
id_cv5yf1d2ap.jpg,Trophozoite,1.0,113,1059,149,1095,images/id_cv5yf1d2ap.jpg,0
id_rqr7ifphi8.jpg,Trophozoite,1.0,1662,634,1766,738,images/id_rqr7ifphi8.jpg,0
id_b8vydytsyy.jpg,Trophozoite,1.0,950,1430,1084,1545,images/id_b8vydytsyy.jpg,0
id_io6mu601ef.jpg,Trophozoite,1.0,867,1004,962,1083,images/id_io6mu601ef.jpg,0
id_2v40bfhybf.jpg,Trophozoite,1.0,658,365,688,405,images/id_2v40bfhybf.jpg,0
id_okva4xz4nj.jpg,Trophozoite,1.0,182,1549,218,1585,images/id_okva4xz4nj.jpg,0
